Parasite,Storage Temp,Storage Length,Replicate tube number,Spores per mL,Exclude,Spores per Daphnia
Pasteuria,4,1 day,1,3545000,0,295416.6667
Pasteuria,4,1 day,2,1540000,0,128333.3333
Pasteuria,4,1 day,3,2395000,0,199583.3333
Pasteuria,4,1 day,4,1580000,0,131666.6667
Pasteuria,4,1 day,5,1375000,0,114583.3333
Pasteuria,4,2 wks,1,1150000,0,95833.33333
Pasteuria,4,2 wks,2,1315000,0,109583.3333
Pasteuria,4,2 wks,3,1455000,0,121250
Pasteuria,4,2 wks,4,590000,0,49166.66667
Pasteuria,4,2 wks,5,1675000,0,139583.3333
Pasteuria,4,4 wks,1,1560000,0,130000
Pasteuria,4,4 wks,2,2115000,0,176250
Pasteuria,4,4 wks,3,1545000,0,128750
Pasteuria,4,4 wks,4,1620000,0,135000
Pasteuria,4,4 wks,5,1650000,0,137500
Pasteuria,4,2 mo.,1,1125000,0,93750
Pasteuria,4,2 mo.,2,1850000,0,154166.6667
Pasteuria,4,2 mo.,3,1440000,0,120000
Pasteuria,4,2 mo.,4,1090000,0,90833.33333
Pasteuria,4,2 mo.,5,1210000,0,100833.3333
Pasteuria,4,4 mo.,1,1075000,0,89583.33333
Pasteuria,4,4 mo.,2,1005000,0,83750
Pasteuria,4,4 mo.,3,1680000,0,140000
Pasteuria,4,4 mo.,4,1015000,0,84583.33333
Pasteuria,4,4 mo.,5,1580000,0,131666.6667
Pasteuria,4,6 mo.,1,1195000,0,99583.33333
Pasteuria,4,6 mo.,2,1075000,0,89583.33333
Pasteuria,4,6 mo.,3,1140000,0,95000
Pasteuria,4,6 mo.,4,600000,0,50000
Pasteuria,4,6 mo.,5,860000,0,71666.66667
Pasteuria,4,9 mo.,1,815000,0,67916.66667
Pasteuria,4,9 mo.,2,635000,0,52916.66667
Pasteuria,4,9 mo.,3,955000,0,79583.33333
Pasteuria,4,9 mo.,4,390000,1,32500
Pasteuria,4,9 mo.,5,750000,0,62500
Pasteuria,4,12 mo.,1,585000,0,48750
Pasteuria,4,12 mo.,2,420000,0,35000
Pasteuria,4,12 mo.,3,1035000,0,86250
Pasteuria,4,12 mo.,4,605000,0,50416.66667
Pasteuria,4,12 mo.,5,705000,0,58750
Pasteuria,-20,1 day,1,1335000,0,111250
Pasteuria,-20,1 day,2,1685000,0,140416.6667
